dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/short,FLAIR,1983142.28456,2026405.322288,191.769633,0.9904082441575692,2.388648,0.735577,21.204747,1408.240847,4.421528,0.602109,0.4965133402341644,Web/CloudOps,2.0
bitbrains_fast_storage/5T/medium,FLAIR,2811745.610997,2834128.64453,284.903869,1.1347375608423935,4.275917,0.805257,26.371961,1676.826053,5.09466,0.865617,0.6681181163517831,Web/CloudOps,2.0
bitbrains_fast_storage/5T/long,FLAIR,3355125.937332,3401925.376397,349.300877,1.096836577154349,3.812934,0.823093,24.559604,1831.700286,4.840637,0.923098,0.7385848667202485,Web/CloudOps,2.0
bitbrains_fast_storage/H/short,FLAIR,3583663.552552,3983508.553302,393.973922,1.263960924409287,5.064211,0.616931,118.270913,1893.056669,5.395826,1.122954,0.5788909741052617,Web/CloudOps,2.0
bitbrains_rnd/5T/short,FLAIR,1737888.868678,1884548.882022,153.472486,1.898601658211834,1.326041,0.699176,60.312365,1318.290131,5.394062,0.627965,0.4936866813581979,Web/CloudOps,2.0
bitbrains_rnd/5T/medium,FLAIR,2079259.753199,2196581.997261,160.761434,4.529614193838793,0.924252,0.77117,179.612962,1441.963853,6.067077,0.676405,0.5927393916222365,Web/CloudOps,2.0
bitbrains_rnd/5T/long,FLAIR,2182473.644873,2355386.6648,180.019994,3.497420835303204,1.237682,0.764127,143.120729,1477.31975,5.659279,0.689616,1.0673417366739528,Web/CloudOps,2.0
bitbrains_rnd/H/short,FLAIR,1943385.568339,1885372.007886,194.708326,5.984398839927252,3.449124,0.682045,221.632851,1394.053646,6.101061,0.852139,0.5462996988602589,Web/CloudOps,2.0
bizitobs_application/10S/short,FLAIR,1876184.5765314768,1815391.1033177944,747.9270435600644,3.725140603957761,0.0316119165840966,0.0328688687303274,56.628706,1369.7388716581993,0.0528253562815282,0.0331852950355631,0.0356220194216466,Web/CloudOps,2.0
bizitobs_application/10S/medium,FLAIR,4824342.996701329,4521482.014146253,1178.3487309596908,6.970358407487815,0.0359112234926903,0.036672037492385,50.919736,2196.438707704207,0.0862476842037889,0.0366115399859277,0.0747350223432618,Web/CloudOps,2.0
bizitobs_application/10S/long,FLAIR,6296956.031536404,5622300.476824691,1443.6117549789844,10.379386178149952,0.0439031992338116,0.0448222332754157,62.932104,2509.373633307006,0.0967765162876926,0.0450692286024008,0.0876220592578042,Web/CloudOps,2.0
bizitobs_l2c/5T/short,FLAIR,39.89196923220072,41.648924806993335,4.138840566681268,0.3094418145877869,560267857.3487672,0.1976153378587408,6.101872,6.316008963910733,0.2169173062626389,71428571.68345554,0.0842221521323908,Web/CloudOps,7.0
bizitobs_l2c/5T/medium,FLAIR,147.2668922843516,178.71827382326438,8.904209603600885,1.070381010282384,6293631536.914137,0.7771770092311909,22.991513,12.135357114001698,0.6384982602195273,8775510206.325195,0.5435734885181496,Web/CloudOps,7.0
bizitobs_l2c/5T/long,FLAIR,220.08786330982448,249.6834058047198,11.188417647389567,1.2658858318627524,18844617125.47244,0.9564677047407296,34.831285,14.835358550093234,0.8329832083458686,0.8951935459194749,0.6898497050368849,Web/CloudOps,7.0
bizitobs_l2c/H/short,FLAIR,67.47887777249487,70.79105473212513,5.416725669300827,0.9134048407572732,3138791198.42241,0.5458161836167424,7.531685,8.214552804169857,0.4427854670010495,0.3888254203023538,0.4281694428473769,Web/CloudOps,7.0
bizitobs_l2c/H/medium,FLAIR,71.28047139775818,75.26069711216324,5.146611743379915,1.333454882227422,5420256723.092143,0.7130516088114754,5.171357,8.44277628495261,0.5112229350111791,0.3730848916876429,0.7899067022672117,Web/CloudOps,7.0
bizitobs_l2c/H/long,FLAIR,88.29677620866308,89.38630193703591,5.6876774287985885,1.2365559890201254,5096815016.247351,0.6378778096926875,8.595932,9.396636430588504,0.5739737086041241,0.4101741813504463,0.6268484869737491,Web/CloudOps,7.0
bizitobs_service/10S/short,FLAIR,3924.096305744248,3973.445156933843,25.023367778850577,2.127644030168456,0.0683702652356866,0.0624156764997477,98.674103,62.64260775019066,0.0464076475133821,0.0659896616903266,0.0340218232357604,Web/CloudOps,2.0
bizitobs_service/10S/medium,FLAIR,5784.68617118058,5649.210444819195,29.669068063409252,3.565280005558453,0.0642070898225869,0.0576946839981446,87.940429,76.05712439463235,0.0572423806267492,0.0608826903222327,0.0634074642868491,Web/CloudOps,2.0
bizitobs_service/10S/long,FLAIR,133687.3626076454,133623.56280962154,75.88567093492854,4.9356659393209785,0.0807570959978534,0.0787314652295604,96.713707,365.6328248498012,0.2708724918128924,0.0783258489228159,0.1003897139535572,Web/CloudOps,2.0
car_parts/M/short,FLAIR,1.792608,1.722412,0.660947,0.8678265232602588,0.732436,1.809945,16.901956,1.338883,3.210505,1.584883,0.9679604261796044,Retail,1.0
covid_deaths/D/short,FLAIR,2161760.159852675,4220645.604981204,348.7078320802005,41.15660057350625,8771929.950863393,0.1407226365590064,1726.601088,1470.2925422692842,0.5532046982117328,0.1364494253869763,0.0858943485974201,Nature,1.0
electricity/15T/short,FLAIR,211985.99813470783,210438.85109171155,77.01182258656021,1.8806945906342112,35563034391.56127,0.2108454618652913,23.925489,460.4193720237104,0.9075773474891394,1673984352113.6824,0.1524831136252436,Energy,1.0
electricity/15T/medium,FLAIR,311574.0132182576,306444.77369549894,65.25795062172716,1.776745764473609,6879764729.007543,0.1561235392069338,16.857183,558.1881521657886,0.9618143869277428,89702231644.17972,0.1326808630030413,Energy,1.0
electricity/15T/long,FLAIR,365712.1020490671,359353.44477818726,68.43908067663304,1.9525291350175251,4846673348.454043,0.1555950162214859,18.175687,604.7413513635951,0.9540536313241867,932245147.5672456,0.1381875474495309,Energy,1.0
electricity/D/short,FLAIR,4378298395.527375,4069629564.188352,6267.877616737643,1.748282135051347,42304469200.61972,0.1093877753342806,23.31726,66168.71160546633,1.0873717016535318,93562333.46482068,0.0809312847310079,Energy,1.0
electricity/H/short,FLAIR,2227795.541370782,2196524.9645751854,214.01081626385633,1.1578403301418805,50380623825.06427,0.1383523101038365,14.944926,1492.5801624605567,0.7046044327710478,8046503426.623359,0.0840962531165039,Energy,1.0
electricity/H/medium,FLAIR,7669402.824325088,7477510.804457827,278.1617228671717,1.2485597816529324,14322446435.883583,0.1343660210333074,14.995153,2769.3686689072456,1.0809758410096402,27799725567.38531,0.0880298548781315,Energy,1.0
electricity/H/long,FLAIR,13611101.01767264,12700791.59848427,323.6614309511297,1.3661848250806217,16627939350.102345,0.1426313873025954,19.716888,3689.322568937642,1.4550677611756124,245195377.41022345,0.1034101904835619,Energy,1.0
electricity/W/short,FLAIR,88067331298.44572,87887625068.89821,32782.85767647162,1.6670886904675075,9401600545.19506,0.1067132880036207,34.788293,296761.40466449765,0.6771115973616177,36.138806870107096,0.0581328679610441,Energy,1.0
ett1/15T/short,FLAIR,4.894772467036226,4.888741664725775,1.1647634529822235,1.061340630551897,22464446.963335782,0.2672187379734906,8.842143,2.212413267686719,0.4182381825093907,0.2306385499903756,0.2568518136867633,Energy,7.0
ett1/15T/medium,FLAIR,10.036427984679763,10.12847903940556,1.837430626300177,1.7068485755056608,26447406.27634502,0.4579566599800427,15.675397,3.168032194388145,0.6038300343191552,0.3521494428065321,0.4547133958712011,Energy,7.0
ett1/15T/long,FLAIR,9.1638956876011,9.188209092890178,1.806603899582836,1.9685955128730988,24180814.976778857,0.4575128911557571,15.88132,3.027192707377761,0.5769858903658147,0.35216537153908,0.5541509206244741,Energy,7.0
ett1/D/short,FLAIR,41179.20773150808,42577.51167659302,139.45365657561717,1.6721326310016529,0.898575921110879,0.5168631745093447,14.447209,202.9266067609373,0.5329934690345931,0.4349377268790258,0.2821434414013323,Energy,7.0
ett1/H/short,FLAIR,105.8577223946386,108.39666315861224,5.686953674188609,1.040846564051529,0.5836459649530408,0.3101653082479789,8.367719,10.288718209506888,0.4802165740645407,0.2361974752161287,0.2448737043547549,Energy,7.0
