dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[mean],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
us_births/W/short,Credence,1636722.2857142857,1636722.2857142857,998.2185407366071,998.2185407366071,0.9077513498198602,0.013534085026809148,0.013565389277960036,5.752775658469967,1279.3444750004924,0.017366975802743965,0.013550718810753747,0.010555768378841576,Healthcare,1
us_births/M/short,Credence,49490293.333333336,49490293.333333336,5783.76171875,5783.76171875,0.6526850293127544,0.017786094297965366,0.01801561816208101,3.4460036145339017,7034.9337831520015,0.02185045636689752,0.01796432446524827,0.013406183756337252,Healthcare,1
us_births/D/short,Credence,144391.13666666666,144391.13666666666,224.20387044270834,224.20387044270834,0.3300526062523098,0.02164744178454081,0.02129296664509317,3.173909974348526,379.9883375403338,0.03562082321689658,0.021017293544531458,0.01720410143430336,Healthcare,1
loop_seattle/5T/short,Credence,37.39829013300877,37.39829013300877,3.412690390595711,3.412690390595711,0.5413689876469108,0.09154565589592799,0.07262561673696459,3.885660409330209,6.115414142395327,0.10486585111097697,0.058520105761454916,0.04609279001687588,Transport,1
temperature_rain/D/short,Credence,176.4941680128301,176.4941680128301,5.663618423726942,5.663618423726942,1.3134947434731687,22.79854244683373,1.4918285807520375,19.356648364813605,13.2851107640407,1.5640087836783834,0.6667576296080117,0.5392536143442029,Nature,1
solar/W/short,Credence,1469706.8832116788,1469706.8832116788,978.045096515739,978.045096515739,1.0684384004213787,0.21963875311134506,0.19220506815704252,6.505855052433108,1212.3146799456315,0.24746372689806234,0.19964344956130878,0.14472886028534163,Energy,1
solar/H/short,Credence,658.5090728146209,658.5090728146209,10.763099417367105,10.763099417367105,0.8294862884443877,4.616341331832344,1.4000640830937374,4.301744382124142,25.661431620519945,0.9458889158002804,0.3967314290603761,0.3062149368935325,Energy,1
solar/H/medium,Credence,666.799777600365,666.799777600365,11.01155199482493,11.01155199482493,0.8414104054661454,4.496129815707967,1.3988515377784037,4.209910176705682,25.822466528206885,0.930185519253839,0.3966618060636571,0.30545363592999814,Energy,1
solar/H/long,Credence,664.7231219586374,664.7231219586374,11.514471341494323,11.514471341494323,0.876083292041614,5.39856821019168,1.3990462439181803,4.392221633781946,25.78222492258256,0.8939168543247632,0.39922776376780644,0.30477620623581614,Energy,1
solar/D/short,Credence,132083.21763990266,132083.21763990266,249.19123659899634,249.19123659899634,0.9716457044426834,1.104498604730388,0.42079542819832766,5.038913593388601,363.4325489549645,0.5250362688713298,0.35999647658301087,0.27677058442774,Energy,1
